"NAICS_2","FTE","EventGroup","table"
"71 Arts, Entertainment, and Recreation",0.0665084130255564,"Lewis and Clark","All Impacts"
"72 Accommodation and Food Services",0.0304878783913284,"Lewis and Clark","All Impacts"
"81 Other Services (except Public Administration)",0.0270835263749004,"Lewis and Clark","All Impacts"
"9A Government Enterprises",0.00234405116270541,"Lewis and Clark","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00050390106354006,"Lewis and Clark","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00028118845389693,"Lewis and Clark","Indirect & Induced Impacts"
"22 Utilities",0.00137924124398676,"Lewis and Clark","Indirect & Induced Impacts"
"23 Construction",0.0045481371172571,"Lewis and Clark","Indirect & Induced Impacts"
"31-33 Manufacturing",0.00134406366581105,"Lewis and Clark","Indirect & Induced Impacts"
"42 Wholesale Trade",0.00632618879700045,"Lewis and Clark","Indirect & Induced Impacts"
"44-45 Retail Trade",0.0367217891549064,"Lewis and Clark","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.0216526610069234,"Lewis and Clark","Indirect & Induced Impacts"
"51 Information",0.121700158394023,"Lewis and Clark","Indirect & Induced Impacts"
"52 Finance and Insurance",0.0384605569284127,"Lewis and Clark","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",0.0458432146877759,"Lewis and Clark","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.0420946968737964,"Lewis and Clark","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.00359250500660106,"Lewis and Clark","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0380594877745582,"Lewis and Clark","Indirect & Induced Impacts"
"61 Educational Services",0.0068961957457958,"Lewis and Clark","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.0507611155723376,"Lewis and Clark","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",0.0665084130255564,"Lewis and Clark","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.0304878783913284,"Lewis and Clark","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.0270835263749004,"Lewis and Clark","Indirect & Induced Impacts"
"9A Government Enterprises",0.00234405116270541,"Lewis and Clark","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.000344131046480896,"Madison","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000193045048855618,"Madison","All Impacts"
"22 Utilities",0.000355131814399301,"Madison","All Impacts"
